0220503081524FNCA         21112171360 71RESTAURANT  11001   0    15925      1820309
0220503081524FNCA         21112171360 71RESTAURANT  111    18 10     0      0820309
0221303082002SCAMP1       24326222306 112H006A/GDR.D11001   0   108750      1820309
0221303082002SCAMP1       24326222306 112H006A/GDR.D111    23 10     0      0820309
0221203081950SCAMP1       24326222306 112H006A.GDR.D11001   0   389228      1820309
0221203081950SCAMP1       24326222306 112H006A.GDR.D111   305 10     0      0820309
0221503091512FNCA         21112171360 71RESTAURASNT 11001   0    15925      1820309
0221503091512FNCA         21112171360 71RESTAURASNT 111    18 10     0      0820309
0221403091446FNCA         21112171360 71RESTAURANT  11001   0    13485      1820309
0221403091446FNCA         21112171360 71RESTAURANT  111    18 10     0      0820309
0222103100140YANKEE       35525  4271 12SPOOL       11001   0  1404580      4820310
0222103100140YANKEE       35525  4271 12SPOOL       111   670 10     0      0820310
0223903111036YANKEE       35525  4271 12SPOOL       11001   0  1090660      1820311
0223903111036YANKEE       35525  4271 12SPOOL       111   358 10     0      0820311
0228203171211OWENSIRT     26150 51132130PRINT       11001   0   204345      4820317
0228203171211OWENSIRT     26150 51132130PRINT       111    53 10     0      0820317
0228303170912SCAMP1       24326222306 112H006A.GDR.D11001   0  1352310      1820317
0228303170912SCAMP1       24326222306 112H006A.GDR.D111   340 10     0      0820317
0227203161040SCAMP1       24326222306 112H006A.GDR.D110        1352310      1820326
0227203161040SCAMP1       24326222306 112H006A.GDR.D111   340 10             820326
0236003271221PWPUBA       27546344303 90CHFA82A     11001   0   700900      1820329
0236003271221PWPUBA       27546344303 90CHFA82A     111   435 10     0      0820329
0237103300053YANKEE       35525  4271 12SPOOL       11001   0  1241820      2820330
0237103300053YANKEE       35525  4271 12SPOOL       111   686 10     0      0820330
0238603311110YANKEE       35525  4271 12SPOOL       11001   0  1241820      2820401
0238603311110YANKEE       35525  4271 12SPOOL       111   626 10     0      0820401
0240004010631YANKEE       35525  4271 12SPOOL       11001   0  1288024      1820401
0240004010631YANKEE       35525  4271 12SPOOL       111   336 10     0      0820401
0240604020654LMARTOK      33231326454182MONTHLYPRT  11001   0   530995      1820402
0240604020654LMARTOK      33231326454182MONTHLYPRT  111   224 10     0      0820402
0250904220912YANKEE       35525  4271 12SPOOL       11001   0  2065810      3820422
0250904220912YANKEE       35525  4271 12SPOOL       111   936 10     0      0820422
0251704222043DIST12A      11553165215 12PRHH        01001   0   931648      1820423
0251704222043DIST12A      11553165215 12PRHH        011   925 10     0      0820423
0253004261141FNCA         21112171360 71COMPTA      11001   0   770070      1820426
0253004261141FNCA         21112171360 71COMPTA      111   354 10     0      0820426
0254704271522FNCA         21112171360 71PLAN COMPTAB11001   0   642700      1820427
0254704271522FNCA         21112171360 71PLAN COMPTAB111   295 10     0      0820427
0257905031507SCAMP1       24326222306 112H006A/GDR.D11001   0  1371990      1820503
0257905031507SCAMP1       24326222306 112H006A/GDR.D111   336 10     0      0820503
0255904300843LMARTOK      33231326454182MONTHLYPRT  11001   0   530995      1820504
0255904300843LMARTOK      33231326454182MONTHLYPRT  111   224 10     0      0820504
0260205050058YANKEE       35525  4271 12SPOOL       11001   0  1496240      2820505
0260205050058YANKEE       35525  4271 12SPOOL       111   742 10     0      0820505
0258605041301LMARTOK      33231326454182MONTHLYPRT  11001   0   530995      1820506
0258605041301LMARTOK      33231326454182MONTHLYPRT  111   224 10     0      0820506
0262205061550LMARTOK      33231326454182MONTHLYPRT  11001   0   535735      1820507
0262205061550LMARTOK      33231326454182MONTHLYPRT  111   226 10     0      0820507
0262605071152DIST182A     16362156604182PRINTAGAIN  01001   0   535735      1820508
0262605071152DIST182A     16362156604182PRINTAGAIN  011   226 10     0      0820508
0266005130955FNCA         21112171360 71PLAN COMPTAB11001   0   396700      1820513
0266005130955FNCA         21112171360 71PLAN COMPTAB111   235 10     0      0820513
0265905122321YANKEE       35525  4271 12SPOOL       11001   0  1443670      2820513
0265905122321YANKEE       35525  4271 12SPOOL       111   696 10     0      0820513
0266105131101FNCA         21112171360 71COMPTA      11001   0   511303      3820513
