     1     1 ^:-none-       v:ES5020       <:-none-       >:-none-      
ES5020       ^:     1     1 v:-none-       <:-none-       >:GEOD1       
GEOD1        ^:     1     1 v:-none-       <:ES5020       >:ROOT        
ROOT         ^:     1     1 v:ACSSUP       <:GEOD1        >:TXS         
ACSSUP       ^:ROOT         v:BATES        <:-none-       >:BARTLETW    
BATES        ^:ACSSUP       v:-none-       <:-none-       >:BUSPLN      
BUSPLN       ^:ACSSUP       v:-none-       <:BATES        >:CSC.SUPT    
CSC.SUPT     ^:ACSSUP       v:-none-       <:BUSPLN       >:FUJIMOTO    
FUJIMOTO     ^:ACSSUP       v:EDIE         <:CSC.SUPT     >:GAGLIARDI   
EDIE         ^:FUJIMOTO     v:-none-       <:-none-       >:-none-      
GAGLIARDI    ^:ACSSUP       v:-none-       <:FUJIMOTO     >:GMASTERS    
GMASTERS     ^:ACSSUP       v:-none-       <:GAGLIARDI    >:HACKWOOD    
HACKWOOD     ^:ACSSUP       v:-none-       <:GMASTERS     >:HSACHK      
HSACHK       ^:ACSSUP       v:-none-       <:HACKWOOD     >:LOGAN       
LOGAN        ^:ACSSUP       v:-none-       <:HSACHK       >:MAKIN       
MAKIN        ^:ACSSUP       v:-none-       <:LOGAN        >:STACKHOUSE  
STACKHOUSE   ^:ACSSUP       v:-none-       <:MAKIN        >:-none-      
BARTLETW     ^:ROOT         v:-none-       <:ACSSUP       >:BEDELL      
BEDELL       ^:ROOT         v:FUGITT       <:BARTLETW     >:BROWNK      
FUGITT       ^:BEDELL       v:-none-       <:-none-       >:GUILLOU     
GUILLOU      ^:BEDELL       v:-none-       <:FUGITT       >:JAY         
JAY          ^:BEDELL       v:-none-       <:GUILLOU      >:KAMOI       
KAMOI        ^:BEDELL       v:-none-       <:JAY          >:MARUSG      
MARUSG       ^:BEDELL       v:-none-       <:KAMOI        >:SLIGOS      
SLIGOS       ^:BEDELL       v:BARASZ       <:MARUSG       >:STRATMAN    
BARASZ       ^:SLIGOS       v:ARLETTE      <:-none-       >:GILLES      
ARLETTE      ^:BARASZ       v:-none-       <:-none-       >:BERNARD     
BERNARD      ^:BARASZ       v:-none-       <:ARLETTE      >:HENRI       
HENRI        ^:BARASZ       v:-none-       <:BERNARD      >:MARIE-ODILE 
MARIE-ODILE  ^:BARASZ       v:-none-       <:HENRI        >:-none-      
GILLES       ^:SLIGOS       v:-none-       <:BARASZ       >:SLICM       
SLICM        ^:SLIGOS       v:-none-       <:GILLES       >:SLIESA      
SLIESA       ^:SLIGOS       v:-none-       <:SLICM        >:THEO        
THEO         ^:SLIGOS       v:-none-       <:SLIESA       >:-none-      
STRATMAN     ^:BEDELL       v:-none-       <:SLIGOS       >:-none-      
BROWNK       ^:ROOT         v:-none-       <:BEDELL       >:CAIN        
CAIN         ^:ROOT         v:EVANSG       <:BROWNK       >:DIAMONDP    
EVANSG       ^:CAIN         v:-none-       <:-none-       >:KJJ         
KJJ          ^:CAIN         v:-none-       <:EVANSG       >:SDS         
SDS          ^:CAIN         v:GLE          <:KJJ          >:-none-      
GLE          ^:SDS          v:-none-       <:-none-       >:LINDLEY     
LINDLEY      ^:SDS          v:-none-       <:GLE          >:SME         
SME          ^:SDS          v:-none-       <:LINDLEY      >:-none-      
DIAMONDP     ^:ROOT         v:A/PINK       <:CAIN         >:DMULLIN     
A/PINK       ^:DIAMONDP     v:-none-       <:-none-       >:BETTY       
BETTY        ^:DIAMONDP     v:-none-       <:A/PINK       >:CUPPLESD    
CUPPLESD     ^:DIAMONDP     v:-none-       <:BETTY        >:ECKEL       
ECKEL        ^:DIAMONDP     v:-none-       <:CUPPLESD     >:FERGUSON    
FERGUSON     ^:DIAMONDP     v:ADRIANO      <:ECKEL        >:GUY         
ADRIANO      ^:FERGUSON     v:-none-       <:-none-       >:AKAISER     
AKAISER      ^:FERGUSON     v:-none-       <:ADRIANO      >:BILAR       
BILAR        ^:FERGUSON     v:-none-       <:AKAISER      >:BKORB       
BKORB        ^:FERGUSON     v:-none-       <:BILAR        >:BROUGH      
BROUGH       ^:FERGUSON     v:-none-       <:BKORB        >:CYOKLEY     
CYOKLEY      ^:FERGUSON     v:-none-       <:BROUGH       >:DCHING      
DCHING       ^:FERGUSON     v:-none-       <:CYOKLEY      >:DHATHAWAY   
DHATHAWAY    ^:FERGUSON     v:-none-       <:DCHING       >:DHOWARD     
DHOWARD      ^:FERGUSON     v:-none-       <:DHATHAWAY    >:DROGERS     
DROGERS      ^:FERGUSON     v:-none-       <:DHOWARD      >:DTROXELL    
DTROXELL     ^:FERGUSON     v:-none-       <:DROGERS      >:GMATTSON    
GMATTSON     ^:FERGUSON     v:-none-       <:DTROXELL     >:HOLLOWAY    
HOLLOWAY     ^:FERGUSON     v:-none-       <:GMATTSON     >:HULTMAN     
