!submit
TYMCOM-X Job Processor  %1(212)  22-Oct-87 09:33:05

SUBMIT> list

  Job     Req     Time   UserName      Next Run         Status
  ---     ---     ----   --------      --------         ------
  PAM     1247    00:00  PJ            --Startup--        Hold-Restart
  CHAMBR  19275   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
 *CHAMBR  14039   01:00  VWARKER       --Active--         Proc-Run
  CHAMBR  14659   01:00  VWARKER       08-Oct-87 07:00  Queued-Wait
  AFDPRP  19523   01:00  NETQC         21-Oct-87 22:00  Queued-Wait
  CHAMBR  14730   01:00  VWARKER       09-Oct-87 07:00  Queued-Wait
  AFDPRP  19706   01:00  32BIT         22-Oct-87 01:00  Queued-Wait
  CHAMBR  14383   01:00  VWARKER       08-Oct-87 07:00  Queued-Wait
  NYNEX   4990    01:00  GALLUPSS      13-Apr-87 14:44   Abort-Time
  CHAMBR  14039   01:00  VWARKER       06-Oct-87 09:00    Done-End
  FNDBAD  19277   01:00  JMS           21-Oct-87 07:30  Queued-Wait
  SZRPT   19704   01:00  JMS           22-Oct-87 00:45  Queued-Wait
  CHAMBR  19279   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19281   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19283   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  F       19224   01:00  DOUGE         21-Oct-87 07:30  Queued-Wait
  CHAMBR  19284   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19286   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19287   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19288   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19289   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19290   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  FILE33  18393   01:00  DANIELSR      15-Nov-87 15:28  Queued-Wait
  CHAMBR  19291   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19292   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19293   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19294   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19295   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  AFDPRP  6901    01:00  NTDOPS        02-Jun-87 22:00   Abort-Enter
  CHAMBR  19296   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19297   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19298   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19299   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19300   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19301   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19302   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19303   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19304   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19305   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  ALERTT  9929    01:00  TECHSERV      --Startup--       Abort-Input
  ALERTT  9932    01:00  TECHSERV      --Startup--       Abort-Input
  CHAMBR  19306   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  POSTAL  11094   01:00  CCHUNG        16-Aug-87 00:04    Hold-Restart
  CHAMBR  19307   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19308   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19309   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19310   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19311   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19312   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19313   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19314   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19315   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19316   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19317   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19318   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19319   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19320   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19321   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19322   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19323   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19324   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19325   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19326   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19327   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19328   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19329   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19330   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19331   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19332   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19333   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19334   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19335   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19336   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19337   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19338   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19339   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19340   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19341   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19342   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19343   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19344   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19345   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19346   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19347   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19348   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19349   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19350   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19351   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19352   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19353   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19354   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19355   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19356   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19357   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19358   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19359   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19360   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19361   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19362   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19363   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19364   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19365   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19366   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19367   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19368   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19369   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19370   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19371   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19372   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19373   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19374   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19375   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19376   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19377   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19378   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19379   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19380   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19381   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19382   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19383   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19384   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19385   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19386   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19387   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19388   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19389   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19390   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19391   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19392   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19393   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19394   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19395   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19396   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19397   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19398   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19399   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19400   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19401   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19402   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19403   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19404   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19405   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19406   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19408   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19409   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19410   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19411   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19412   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19413   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19414   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19415   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19416   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19417   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19418   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19419   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19420   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19421   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19422   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19423   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19424   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19425   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19426   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19427   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19428   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19429   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19430   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
  CHAMBR  19431   01:00  VWARKER       21-Oct-87 07:00  Queued-Wait
