25apr90 17:37:48 #8 (DCSOPEN) LOGIN St. Louis :0 TID='20
25apr90 17:37:48 #8 (DCSOPEN) PJC PJC=DCS, VFY=0
25apr90 17:37:48 #8 (DCSOPEN) NEXIT (SYS)LOGINN
25apr90 17:37:52 #8 (DCSOPEN) RUN (SYS)RPG
25apr90 17:37:52 #8 (DCSOPEN) RUNLIC 2000,,0
25apr90 17:37:53 #8 (DCSOPEN) RUN (SYS)RDMAIL
25apr90 17:37:53 #8 (DCSOPEN) RUNLIC 10,,0
25apr90 17:37:53 #8 (DCSOPEN) RUN (MAIL)RDMAIL
25apr90 17:37:53 #8 (DCSOPEN) RUNLIC 140012,,0
25apr90 17:38:19 #8 (DCSOPEN) NEXIT (MAIL)RDMAIL
25apr90 17:38:19 #8 (DCSOPEN) RUN (SYS)RPG
25apr90 17:38:19 #8 (DCSOPEN) RUNLIC 2000,,0
25apr90 17:38:19 #8 (DCSOPEN) RUN (SYS)DIRIT
25apr90 17:38:20 #8 (DCSOPEN) NEXIT (SYS)DIRIT
25apr90 17:38:20 #8 (DCSOPEN) RUN (SYS)RPG
25apr90 17:38:20 #8 (DCSOPEN) RUNLIC 2000,,0
25apr90 17:38:21 #8 (DCSOPEN) RUN (SYS)LISTER
25apr90 17:38:21 #8 (DCSOPEN) RUNLIC 12,,0
25apr90 17:38:21 #8 (DCSOPEN) NEXIT (SYS)LISTER
25apr90 17:38:22 #8 (DCSOPEN) RUN (SYS)GFD
25apr90 17:38:22 #8 (DCSOPEN) RUNLIC 5010,,0
25apr90 17:38:23 #8 (DCSOPEN) NEXIT (SYS)GFD
25apr90 17:38:23 #8 (DCSOPEN) RUN (SYS)MAGNUM
25apr90 17:38:24 #8 (DCSOPEN) RUN (MAGNUM)MAGNUM
25apr90 17:38:24 #8 (DCSOPEN) RUNLIC 200,,0
25apr90 17:38:27 #8 (DCSOPEN) XCHARGE (MAGNUM)MAGNUM
25apr90 17:38:27 #8 (DCSOPEN) RUN (MAGNUM)MAGNP1
25apr90 17:38:27 #8 (DCSOPEN) RUNLIC 200,,0
