detach? 14:
.o$
!submit
TYMCOM-X Job Processor  %1(212)  22-Feb-91 19:17:58
SUBMIT> list
  Job     Req     Time   UserName      Next Run         Status              
  ---     ---     ----   --------      --------         ------              
 *PAM     1160    00:00  PJ            --Active--         Proc-Run        
  MAILER  7866    00:10  MAIL          22-Feb-91 20:05  Queued-Wait       
  FNDBAD  7853    01:00  JMS           23-Feb-91 07:30  Queued-Wait       
 *SYSDAT  6549    00:00  SRA           --Active--         Proc-Run        
  TATTLE  7863    00:00  JMS           23-Feb-91 16:05  Queued-Wait       
  SZRPT   7845    01:00  JMS           23-Feb-91 00:45  Queued-Wait       
SUBMIT> exit
!^Z
!
17: cannot build circuit
23:
.o$
!submit
TYMCOM-X Job Processor  %1(212)  22-Feb-91 19:18:05
SUBMIT> list
  Job     Req     Time   UserName      Next Run         Status              
  ---     ---     ----   --------      --------         ------              
  TBILL1  82770   06:40  DBAMIKE       25-Feb-91 02:00  Queued-Wait       
  GOPJ    66456   01:00  OPER          --Startup--       Abort-Notice     
  JOB     82727   01:00  NET1STAGE     24-Feb-91 00:00  Queued-Wait       
  ODDLY   82943   01:00  DBAMIKE       23-Feb-91 15:30  Queued-Wait       
  FNDBAD  82935   01:00  JMS           23-Feb-91 07:30  Queued-Wait       
  PCOM    82914   01:00  TELCOBILL     --Startup--      Queued-Wait       
  WEDNES  82878   01:00  DBAMIKE       28-Feb-91 01:00  Queued-Wait       
  JOB     79985   01:00  NSSU          16-Dec-90 00:00   Abort-Input      
  FRIDAY  82947   01:00  DBAMIKE       01-Mar-91 17:00  Queued-Wait       
  PEGGY   82923   01:00  DBAMIKE       23-Feb-91 03:00  Queued-Wait       
  THURSD  82919   01:00  DBAMIKE       01-Mar-91 01:00  Queued-Wait       
  ARCHIV  82201   01:00  NETDB         03-Mar-91 00:00  Queued-Wait       
  SYSDAT  79482   00:00  SRA           --Startup--       Abort-Logout     
  TBILL4  82881   01:00  DBAMIKE       28-Feb-91 02:00  Queued-Wait       
