

                             *[TYMNET]*

TYMNET ACCESS SORTED BY NODE #               9/25/1985            PAGE 1

NODE   CITY                 NODE #          DEN   ACCESS #       MODEM
----   -------------------  --------------  ---   -------------  ------------

0000   ANCHORAGE            ALASKA          INTL  907/338-7222   VADIC 3467   
0000   FAIRBANKS            ALASKA          INTL  907/456-3282   VADIC 3467   
0000   JUNEAU               ALASKA          INTL  907/789-7009   VADIC 3467   
0000   PRUDHOE BAY          ALASKA          INTL  907/659-2777   VADIC 3467   
1073   LYNDHURST            NEW JERSEY      HIGH  201/460-0100   BELL 113     
1073   LYNDHURST            NEW JERSEY      HIGH  201/460-0180   BELL 212A    
1241   CORNING              NEW YORK        LOW   607/962-4481   VADIC 3467   
2026   MARSHALLTOWN         IOWA            LOW   515/753-0670   VADIC 3467   
2035   ALEXANDRIA/FAIRFAX   VIRGINIA        HIGH  703/352-3136   2400 BPS     
2035   ARLINGTON/FAIRFAX    VIRGINIA        HIGH  703/352-3136   2400 BPS     
2035   BETHESDA/FAIRFAX     MARYLAND        HIGH  703/352-3136   2400 BPS     
2035   FAIRFAX              VIRGINIA        HIGH  703/352-3136   2400 BPS     
2035   WASHINGTON/FAIRFAX   D.C.            HIGH  703/352-3136   2400 BPS     
2066   INDIANAPOLIS         INDIANA         HIGH  317/631-1002   VADIC 3467   
2066   KOKOMO               INDIANA         LOW   317/456-3871   VADIC 3467   
2066   LAFAYETTE            INDIANA         LOW   317/423-4544   VADIC 3467   
2066   MARION               INDIANA         LOW   317/664-9033   VADIC 3467   
2066   MUNCIE               INDIANA         LOW   317/284-4474   VADIC 3467   
2074   INDIANAPOLIS         INDIANA         HIGH  317/632-6408   2400 BPS     
2164   NEW YORK             NEW YORK        HIGH  212/269-6985   VADIC 3467   
2165   ANN ARBOR            MICHIGAN        HIGH  313/662-8282   VADIC 3467   
2177   DENTON               TEXAS           LOW   817/565-9273   VADIC 3467   
2177   TYLER                TEXAS           LOW   214/592-1372   VADIC 3467   
2225   DETROIT              MICHIGAN        HIGH  313/963-3460   2400 BPS     
2237 * LEWISTON             MAINE           LOW   207/786-5390   VADIC 3467   
2246   ANNISTON             ALABAMA         LOW   205/236-2655   VADIC 3467   
2246   BIRMINGHAM           ALABAMA         HIGH  205/942-4141   VADIC 3467   
2336   BOCA RATON           FLORIDA         LOW   305/395-7330   VADIC 3467   
2336   FORT MYERS           FLORIDA         LOW   813/936-4221   VADIC 3467   
2336   FT PIERCE            FLORIDA         LOW   305/466-0661   VADIC 3467   
2336   HOLLYWOOD/MIAMI      FLORIDA         HIGH  305/624-7900   VADIC 3467   
2336   MIAMI                FLORIDA         HIGH  305/624-7900   VADIC 3467   
2336   POMPANO BCH/BOCA RTN FLORIDA         LOW   305/395-7330   VADIC 3467   
2343   JACKSON              MICHIGAN        MED   517/782-0584   VADIC 3467   
2351   SYRACUSE             NEW YORK        MED   315/437-7111   VADIC 3467   
2354   ABERDEEN             MARYLAND        LOW   301/272-3800   VADIC 3467   
2354   BALTIMORE            MARYLAND        HIGH  301/547-8100   VADIC 3467   
2354   DOVER                DELAWARE        LOW   302/678-0449   VADIC 3467   
